,contractSymbol,c_lastTrade,strike,c_lastPrice,c_bid,c_ask,c_change,c_percentChange,c_volume,c_openInterest,c_impliedVolatility,c_inTheMoney,contractSize,currency,c_lastTrade,expDate,c_dollarsFromStrike,c_dollarsFromStrikexOI,c_lastContractPricexOI
0,AAPL230526C00095000,2023-04-12 14:07:07+00:00,95.0,66.85,72.75,73.1,0.0,0.0,,10,0.9492192578124999,True,REGULAR,USD,230412_1407,230526,-72.47999999999999,-724.8,668.5
1,AAPL230526C00100000,2023-04-19 14:31:12+00:00,100.0,67.0,67.7,68.05,0.0,0.0,2.0,7,0.8554701953125,True,REGULAR,USD,230419_1431,230526,-67.47999999999999,-472.3599999999999,469.0
2,AAPL230526C00125000,2023-04-19 16:56:59+00:00,125.0,43.4,42.85,43.45,0.0,0.0,22.0,82,0.584965087890625,True,REGULAR,USD,230419_1656,230526,-42.47999999999999,-3483.359999999999,3558.7999999999997
3,AAPL230526C00130000,2023-04-20 15:53:59+00:00,130.0,38.02,38.05,38.3,-0.6499977,-1.6808838,2.0,6,0.5246629565429688,True,REGULAR,USD,230420_1553,230526,-37.47999999999999,-224.87999999999994,228.12
4,AAPL230526C00135000,2023-04-19 19:58:40+00:00,135.0,33.1,33.05,33.45,0.0,0.0,2.0,4,0.500005,True,REGULAR,USD,230419_1958,230526,-32.47999999999999,-129.91999999999996,132.4
5,AAPL230526C00140000,2023-04-20 16:32:38+00:00,140.0,28.37,28.4,28.6,0.8299999,3.0137978,1.0,48,0.4514215014648438,True,REGULAR,USD,230420_1632,230526,-27.47999999999999,-1319.0399999999995,1361.76
6,AAPL230526C00145000,2023-04-19 14:17:51+00:00,145.0,22.53,23.5,23.75,0.0,0.0,3.0,17,0.3991759301757813,True,REGULAR,USD,230419_1417,230526,-22.47999999999999,-382.15999999999985,383.01
7,AAPL230526C00150000,2023-04-20 17:05:49+00:00,150.0,19.05,18.95,19.1,0.0,0.0,15.0,68,0.35938140625,True,REGULAR,USD,230420_1705,230526,-17.47999999999999,-1188.6399999999994,1295.4
8,AAPL230526C00155000,2023-04-20 17:33:14+00:00,155.0,14.55,14.6,14.75,-0.14999962,-1.0204055,21.0,201,0.32996275512695306,True,REGULAR,USD,230420_1733,230526,-12.47999999999999,-2508.4799999999977,2924.55
9,AAPL230526C00160000,2023-04-20 17:36:56+00:00,160.0,10.61,10.6,10.75,-0.1600008,-1.4856155,55.0,469,0.3039010040283203,True,REGULAR,USD,230420_1736,230526,-7.47999999999999,-3508.1199999999953,4976.09
10,AAPL230526C00165000,2023-04-20 17:19:26+00:00,165.0,7.25,7.05,7.25,0.26999998,3.8681946,154.0,2218,0.28076891113281244,True,REGULAR,USD,230420_1719,230526,-2.4799999999999898,-5500.639999999978,16080.5
11,AAPL230526C00170000,2023-04-20 17:36:38+00:00,170.0,4.23,4.2,4.3,-0.03999996,-0.9367673,447.0,1712,0.2551344018554688,False,REGULAR,USD,230420_1736,230526,2.5200000000000102,4314.240000000018,7241.760000000001
12,AAPL230526C00175000,2023-04-20 17:37:41+00:00,175.0,2.17,2.16,2.21,0.029999971,1.4018677,239.0,1163,0.2352371398925781,False,REGULAR,USD,230420_1737,230526,7.52000000000001,8745.760000000011,2523.71
13,AAPL230526C00180000,2023-04-20 17:27:55+00:00,180.0,0.98,0.95,0.98,0.0,0.0,516.0,2227,0.22168747070312497,False,REGULAR,USD,230420_1727,230526,12.52000000000001,27882.040000000023,2182.46
14,AAPL230526C00185000,2023-04-20 17:40:24+00:00,185.0,0.38,0.38,0.39,-0.02000001,-5.000003,58.0,3403,0.21460746337890624,False,REGULAR,USD,230420_1740,230526,17.52000000000001,59620.560000000034,1293.14
15,AAPL230526C00190000,2023-04-20 17:32:17+00:00,190.0,0.15,0.15,0.16,-0.019999996,-11.764703,107.0,147,0.215828154296875,False,REGULAR,USD,230420_1732,230526,22.52000000000001,3310.4400000000014,22.05
16,AAPL230526C00195000,2023-04-20 17:06:47+00:00,195.0,0.08,0.07,0.09,-0.010000005,-11.111116,61.0,224,0.229499892578125,False,REGULAR,USD,230420_1706,230526,27.52000000000001,6164.480000000002,17.92
17,AAPL230526C00200000,2023-04-20 15:10:47+00:00,200.0,0.04,0.03,0.05,-0.010000002,-20.000004,5.0,166,0.241218525390625,False,REGULAR,USD,230420_1510,230526,32.52000000000001,5398.3200000000015,6.640000000000001
18,AAPL230526C00205000,2023-04-18 14:29:30+00:00,205.0,0.02,0.02,0.04,0.0,0.0,5.0,26,0.26270268554687504,False,REGULAR,USD,230418_1429,230526,37.52000000000001,975.5200000000002,0.52
19,AAPL230526C00215000,2023-04-19 18:27:07+00:00,215.0,0.03,0.0,0.02,0.0,0.0,5.0,7,0.2929758203124999,False,REGULAR,USD,230419_1827,230526,47.52000000000001,332.6400000000001,0.21
20,AAPL230526C00220000,2023-04-14 13:46:34+00:00,220.0,0.01,0.0,0.02,0.0,0.0,,1,0.31641308593749995,False,REGULAR,USD,230414_1346,230526,52.52000000000001,52.52000000000001,0.01
21,AAPL230526C00230000,2023-04-10 19:18:56+00:00,230.0,0.02,,0.02,0.0,0.0,,5,0.3632876171875,False,REGULAR,USD,230410_1918,230526,62.52000000000001,312.6,0.1
22,AAPL230526C00250000,2023-04-14 14:40:43+00:00,250.0,0.01,,0.01,0.0,0.0,,1,0.41797457031249996,False,REGULAR,USD,230414_1440,230526,82.52000000000001,82.52000000000001,0.01
